vOTU	type	present_samples	total_samples_in_type	prevalence	prevalence_percent	mean_abundance_all_samples	mean_abundance_present_samples	total_abundance
swine-288887	swine	42	1758	0.0238907849829352	2.38907849829352	0.000185181079067122	0.00775115088095238	0.325548337
swine-75614	swine	42	1758	0.0238907849829352	2.38907849829352	0.000181415895904437	0.00759355107142857	0.318929145
swine-401341	swine	42	1758	0.0238907849829352	2.38907849829352	0.000180493503981797	0.00755494238095238	0.31730758
swine-49022	swine	42	1758	0.0238907849829352	2.38907849829352	0.000177416178612059	0.00742613433333333	0.311897642
swine-183422	swine	42	1758	0.0238907849829352	2.38907849829352	0.00017720187258248	0.0074171640952381	0.311520892
swine-231238	swine	42	1758	0.0238907849829352	2.38907849829352	0.000175851812855518	0.00736065445238095	0.309147487
swine-325867	swine	42	1758	0.0238907849829352	2.38907849829352	0.000171570064846416	0.00718143271428571	0.301620174
swine-101101	swine	42	1758	0.0238907849829352	2.38907849829352	0.000171544017633675	0.00718034245238095	0.301574383
swine-1358	swine	42	1758	0.0238907849829352	2.38907849829352	0.000171309269624573	0.00717051657142857	0.301161696
swine-428660	swine	42	1758	0.0238907849829352	2.38907849829352	0.000170325278725825	0.00712932952380952	0.29943184
swine-346795	swine	42	1758	0.0238907849829352	2.38907849829352	0.000166733896473265	0.00697900452380952	0.29311819
swine-451341	swine	42	1758	0.0238907849829352	2.38907849829352	0.000160222909556314	0.00670647321428571	0.281671875
swine-142671	swine	42	1758	0.0238907849829352	2.38907849829352	0.000157392084186576	0.00658798295238095	0.276695284
swine-407217	swine	42	1758	0.0238907849829352	2.38907849829352	0.000156817629692833	0.00656393792857143	0.275685393
swine-95161	swine	42	1758	0.0238907849829352	2.38907849829352	0.000156232578498294	0.00653944935714286	0.274656873
swine-144175	swine	42	1758	0.0238907849829352	2.38907849829352	0.000152996833902162	0.00640401033333333	0.268968434
swine-107844	swine	42	1758	0.0238907849829352	2.38907849829352	0.000152126007963595	0.00636756004761905	0.267437522
swine-380207	swine	42	1758	0.0238907849829352	2.38907849829352	0.000146660227531286	0.0061387780952381	0.25782868
swine-83499	swine	42	1758	0.0238907849829352	2.38907849829352	0.000146085373720136	0.00611471635714286	0.256818087
swine-458791	swine	42	1758	0.0238907849829352	2.38907849829352	0.000146052602957907	0.00611334466666667	0.256760476
