sample	Continent	Shannon_index	nReads	sum_len	num_seqs	Shannon_residual
CNS0178669	Asia	5.59748	168495035	646427247	747295	0.0203070822609641
CNS0178670	Asia	6.78516	197853628	1108762258	1304185	0.614002694800984
CNS0178671	Asia	7.01486	299124754	1514125493	1702364	0.4782549054473
CNS0178672	Asia	6.27996	191365989	1031389703	1189466	0.17958083844079
CNS0178673	Asia	6.10626	171618925	964557605	1094248	0.0711107094954996
CNS0178674	Asia	5.99485	142549448	596386638	705284	0.516717433862493
CNS0178675	Asia	6.2144	161891885	734127017	822460	0.478272808920296
CNS0178676	Asia	6.08386	168393264	839080497	954428	0.206043556653021
CNS0178677	Asia	5.79619	186763276	922127811	1074894	-0.17364977583956
CNS0178678	Asia	6.40028	238335706	1095328967	1245349	0.22881521696698
CNS0178679	Asia	5.7761	152014679	567437841	680855	0.362017201291189
CNS0178680	Asia	6.18614	190607342	909234619	1084122	0.243685359353214
CNS0178681	Asia	6.22716	171143120	776462287	897609	0.444649061412935
CNS0178682	Asia	5.96769	144800764	748787127	881898	0.232527141637971
CNS0178683	Asia	5.43068	190594712	620584895	619043	-0.172240928043234
CNS0178684	Asia	6.37082	187063086	890674028	1072697	0.456197283338835
CNS0178685	Asia	5.76851	151973254	639603547	695491	0.171114622183108
CNS0178686	Asia	5.07858	161857421	783200116	878892	-0.729301223108918
CNS0178687	Asia	5.43254	167631288	606336393	690013	-0.0807330176937607
CNS0178688	Asia	6.06388	156103208	606761591	741387	0.584111655313252
CNS0178689	Asia	5.94521	167774024	877871959	1018280	0.0263886176437356
CNS0178690	Asia	5.74907	229657417	1032784049	1194472	-0.348524428671979
CNS0178691	Asia	6.04932	189635479	955020913	1101161	0.0349775354610917
CNS0178692	Asia	5.63041	147413307	662736646	804150	0.0472879459164958
CNS0178693	Asia	5.71133	164683572	663324725	791705	0.120753414718935
CNS0178694	Asia	5.18794	161790311	646803596	725400	-0.405627172567375
CNS0178695	Asia	5.90793	168246775	976311620	1168091	-0.114626619778553
CNS0178696	Asia	5.16354	167796519	658714048	757637	-0.43734957339779
CNS0178697	Asia	5.63976	149128289	607764953	643657	0.0861919252706104
CNS0178698	Asia	5.10283	181693265	895404666	1052684	-0.83021211145515
CNS0178699	Asia	5.2246	145883903	542640720	639233	-0.149177323655201
CNS0178700	Asia	5.15097	148599144	458441544	547454	-0.0266098889828258
CNS0178701	Asia	5.25751	171919977	621610428	706070	-0.284201908740629
CNS0178702	Asia	5.78102	174984094	663102869	723559	0.147116424551725
CNS0178703	Asia	5.90448	242665544	1096265621	1253529	-0.264824162875336
CNS0178704	Asia	5.52559	179728246	882837977	1042645	-0.389503948454707
CNS0178705	Asia	5.49482	164389900	794534350	908102	-0.319803862625828
CNS0178706	Asia	5.88488	305388324	1517241152	1737399	-0.644581372148477
CNS0178707	Asia	5.13736	162889213	774135390	895708	-0.642126567477976
CNS0178708	Asia	6.07577	304916192	1205770247	1336292	-0.212290358905452
CNS0178709	Asia	4.3949	190269623	560384276	611628	-1.04878029784008
CNS0178710	Asia	5.4759	169031089	705361796	778292	-0.222296840396993
CNS0178711	Asia	5.154	161283580	778632286	920045	-0.621672728267184
CNS0178712	Asia	5.98613	173210495	861366449	958852	0.0686056236845008
CNS0178713	Asia	6.09221	154833633	950119538	1221719	0.134742160223836
CNS0178714	Asia	5.88559	151624891	666133244	804481	0.294838150470407
CNS0178715	Asia	5.94371	192702134	720712092	783455	0.216007012906165
CNS0178716	Asia	5.41734	188182279	650521800	838032	-0.111240403312669
CNS0178717	Asia	5.29455	173482778	629080623	654422	-0.304199380552358
CNS0178718	Asia	5.47762	184038831	676082480	767254	-0.157680511812868
CNS0178719	Asia	5.0203	243319460	618495236	695060	-0.515615239500642
CNS0178720	Asia	5.67692	151685130	481736782	573990	0.442960433379015
CNS0178721	Asia	5.54364	175493617	967202276	1134586	-0.477562053091253
CNS0178722	Asia	4.69028	162587371	415202638	517505	-0.353445165984806
CNS0178723	Asia	5.89422	165700813	898516686	981048	-0.0809974270978107
CNS0178724	Asia	6.28325	256080824	1158420912	1289252	0.0394692105480661
CNS0178725	Asia	5.30101	159528138	597444720	651077	-0.218045701436797
CNS0178726	Asia	6.19322	219952268	1277581137	1525105	-0.127873336989182
CNS0178727	Asia	5.1408	157772000	548083666	632086	-0.253504620830172
CNS0178728	Asia	5.26953	162426797	668316362	780601	-0.340441821233715
CNS0178729	Asia	4.81439	135040574	240990747	299933	0.377177441457447
CNS0178730	Asia	6.03562	168268263	804644257	926435	0.210839918295984
CNS0178731	Asia	5.55097	144452904	683128893	818638	-0.0726644872230569
CNS0178732	Asia	5.00339	192593007	959105951	1085074	-1.02495084131944
CNS0178734	Asia	5.65464	189917707	731454661	787237	-0.0948580956534456
CNS0178735	Asia	5.81023	209155840	913443170	1071161	-0.144227438897287
CNS0178736	Asia	5.61933	156558754	840632914	1005929	-0.236456961966763
CNS0178737	Asia	5.6838	182552121	847092208	943767	-0.213727071431902
CNS0178738	Asia	6.12385	374425335	1303687354	1423218	-0.256038738319847
CNS0178739	Asia	5.96303	174475747	788041087	890010	0.152614999377781
CNS0178740	Asia	5.58239	175646804	822515017	1011207	-0.233683750599859
CNS0178741	Asia	5.70541	152094771	711680056	860181	0.0409266191065346
CNS0178742	Asia	4.9473	146845567	708170591	835949	-0.72396316031138
CNS0178743	Asia	5.08399	143199805	513374772	632332	-0.205690716437402
CNS0178744	Asia	5.67369	135863311	703369153	848711	0.0197636350649464
CNS0178745	Asia	5.59084	175233200	692201438	770630	-0.0812105892363863
CNS0178746	Asia	5.68358	184059968	508770294	566153	0.357398119366535
CNS0178747	Asia	5.32737	164475526	621899247	678460	-0.235659841820785
CNS0178748	Asia	5.60548	164718891	794230073	878031	-0.225263359366919
CNS0178749	Asia	5.60923	162554495	749194729	838516	-0.150109988145687
CNS0178750	Asia	5.93362	296087784	1210593054	1417282	-0.332063839692005
CNS0178751	Asia	5.78211	161487386	775106004	846351	-0.0277717204625251
CNS0178752	Asia	4.74849	190637899	683272188	756702	-0.910284192966493
