comparison_level	dataset	scope	feature	top10_threshold_ARG_annotations	denominator_MAG_count	MAG_count	annotation_count	annotation_percent	unique_ARG_name_count	multidrug_ARG_annotation_count	multidrug_ARG_percent_within_feature
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	sulfonamide antibiotic	64	353	349	672	2.78157208493729	4	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	MLS	64	353	252	519	2.14826772631318	16	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	phenicol antibiotic	64	353	307	508	2.10273604039902	11	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	diaminopyrimidine antibiotic	64	353	318	403	1.66811540212757	13	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	nitroimidazole antibiotic	64	353	352	352	1.45701394925287	1	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	elfamycin antibiotic	64	353	129	223	0.923051450805083	1	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	glycopeptide antibiotic	64	353	65	65	0.269050871310899	2	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	rifamycin antibiotic	64	353	42	44	0.182126743656608	3	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	nitrofuran antibiotic	64	353	12	12	0.0496709300881659	1	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	bicyclomycin antibiotic	64	353	1	1	0.00413924417401383	1	NA	NA
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Escherichia	NA	1590	925	37099	92.098207636165	152	19701	53.1038572468261
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Klebsiella	NA	1590	52	1253	3.11057047812919	69	708	56.5043894652833
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pseudomonas	NA	1590	7	391	0.970656869073035	66	306	78.2608695652174
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Enterobacter	NA	1590	13	233	0.578422124025619	33	141	60.5150214592275
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Proteus	NA	1590	32	142	0.352514770865399	20	60	42.2535211267606
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Citrobacter	NA	1590	5	137	0.340102278933519	39	65	47.4452554744526
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Gallibacterium	NA	1590	39	109	0.270592324114989	57	7	6.42201834862385
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Acinetobacter	NA	1590	37	72	0.178739883819076	47	20	27.7777777777778
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Thiopseudomonas	NA	1590	65	70	0.173774887046323	6	65	92.8571428571429
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Salmonella	NA	1590	2	60	0.148949903182563	32	38	63.3333333333333
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Succinivibrio	NA	1590	35	37	0.0918524402959138	9	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Atlantibacter	NA	1590	3	34	0.0844049451367857	13	14	41.1764705882353
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Achromobacter	NA	1590	12	33	0.0819224467504096	10	26	78.7878787878788
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Comamonas	NA	1590	12	32	0.0794399483640336	15	10	31.25
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Psychrobacter	NA	1590	18	29	0.0719924532049054	12	1	3.44827586206897
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Halopseudomonas	NA	1590	26	28	0.0695099548185294	4	25	89.2857142857143
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Leclercia	NA	1590	2	27	0.0670274564321533	17	16	59.2592592592593
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Kluyvera	NA	1590	2	25	0.0620624596594012	13	14	56
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Stutzerimonas	NA	1590	15	18	0.0446849709547689	3	15	83.3333333333333
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Aphodousia	NA	1590	6	15	0.0372374757956407	13	2	13.3333333333333
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Halomonas	NA	1590	11	15	0.0372374757956407	4	12	80
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Morganella	NA	1590	3	15	0.0372374757956407	9	7	46.6666666666667
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Duodenibacillus	NA	1590	9	14	0.0347549774092647	6	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pseudomonas_E	NA	1590	9	14	0.0347549774092647	8	4	28.5714285714286
genus	Pseudomonadota AR-MAG	all_AR_MAGs	UBA5868	NA	1590	9	14	0.0347549774092647	5	11	78.5714285714286
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Enterobacter_D	NA	1590	1	13	0.0322724790228886	13	9	69.2307692307692
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Marinobacter	NA	1590	13	13	0.0322724790228886	2	12	92.3076923076923
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Cellvibrio	NA	1590	12	12	0.0297899806365126	1	12	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Kosakonia	NA	1590	1	12	0.0297899806365126	11	9	75
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Sutterella	NA	1590	6	12	0.0297899806365126	8	2	16.6666666666667
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Venatoribacter	NA	1590	12	12	0.0297899806365126	1	12	100
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pseudomonas_H	NA	1590	10	11	0.0273074822501365	2	10	90.9090909090909
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Ochrobactrum	NA	1590	4	10	0.0248249838637605	9	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pseudescherichia	NA	1590	1	10	0.0248249838637605	10	7	70
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Ruminobacter	NA	1590	8	10	0.0248249838637605	6	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Actinobacillus_B	NA	1590	7	9	0.0223424854773844	4	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Lelliottia	NA	1590	1	9	0.0223424854773844	9	7	77.7777777777778
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Pseudoxanthomonas	NA	1590	6	9	0.0223424854773844	6	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Basfia_A	NA	1590	4	8	0.0198599870910084	4	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Luteimonas_D	NA	1590	8	8	0.0198599870910084	5	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Oceanisphaera	NA	1590	7	8	0.0198599870910084	2	0	0
genus	Pseudomonadota AR-MAG	all_AR_MAGs	Providencia	NA	1590	2	8	0.0198599870910084	5	4	50
