Shannon	Antimicrobial_usage_in_livestock	Scale_of_livestock_breeding	Agricultural_production	Economic_level	Livestock_feces_production	Pesticides_usage	Livestock_meat_production	Fertilization_of_livestock_manure	Human_population
6.33163	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.45413	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.97909	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.67719	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.05475	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.46394	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.53372	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.95687	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.94256	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.03853	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.35302	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.08042	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.40703	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.67799	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.88914	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.46724	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.3817	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.41401	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.71156	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.36204	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.78711	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.59207	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.47388	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.16125	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.52284	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.66102	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.29062	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.32154	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.57797	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.18673	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.87333	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.66229	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.80741	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.99864	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.25583	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.21904	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.97365	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.10253	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.72795	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.84296	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.15835	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
